symbol,name,industry,index_memberships
LASA,Lasa Supergenerics Limited,,
LASERPOWER,Laser Power & Infra Limited,,
LATENTVIEW,Latent View Analytics Limited,Information Technology,NIFTY500
LAURUSLABS,Laurus Labs Limited,Healthcare,NIFTY500
LAXMICOT,Laxmi Cotspin Limited,,
LAXMIDENTL,Laxmi Dental Limited,,
LCCINFOTEC,LCC Infotech Limited,,
LCL,Lohia Corp Limited,,
LEAPIND,LEAP India Limited,,
LEMERITE,Le Merite Exports Limited,,
LEMONTREE,Lemon Tree Hotels Limited,Consumer Services,NIFTY500
LENSKART,Lenskart Solutions Limited,Consumer Services,NIFTY500
LEXUS,Lexus Granito (India) Limited,,
LFIC,Lakshmi Finance & Industrial Corporation Limited,,
LGBBROSLTD,LG Balakrishnan & Bros Limited,,
LGEINDIA,LG Electronics India Limited,Consumer Durables,NIFTY500
LGHL,Laxmi Goldorna House Limited,,
LIBAS,Libas Consumer Products Limited,,
LIBERTSHOE,Liberty Shoes Limited,,
LICHSGFIN,LIC Housing Finance Limited,Financial Services,NIFTY500
LICI,Life Insurance Corporation Of India,Financial Services,NIFTY500
LIKHITHA,Likhitha Infrastructure Limited,,
LINC,Linc Limited,,
LINCOLN,Lincoln Pharmaceuticals Limited,,
LINDEINDIA,Linde India Limited,Chemicals,NIFTY500
LLOYDSENGG,LLOYDS ENGINEERING WORKS LIMITED,,
LLOYDSENT,Lloyds Enterprises Limited,,
LLOYDSME,Lloyds Metals And Energy Limited,Metals & Mining,NIFTY500
LMW,LMW Limited,,
LODHA,Lodha Developers Limited,Realty,NIFTY500
LORDSCHLO,Lords Chloro Alkali Limited,,
LOTUSEYE,Lotus Eye Hospital and Institute Limited,,
LOVABLE,Lovable Lingerie Limited,,
LOYALTEX,Loyal Textile Mills Limited,,
LPDC,Landmark Property Development Company Limited,,
LT,Larsen & Toubro Limited,Construction,NIFTY50|NIFTY500
LTF,L&T Finance Limited,Financial Services,NIFTY500
LTFOODS,LT Foods Limited,Fast Moving Consumer Goods,NIFTY500
LTM,LTM Limited,Information Technology,NIFTY500
LTTS,L&T Technology Services Limited,Information Technology,NIFTY500
LUMAXIND,Lumax Industries Limited,,
LUMAXTECH,Lumax Auto Technologies Limited,,
LUPIN,Lupin Limited,Healthcare,NIFTY500
LUXIND,Lux Industries Limited,,
LXCHEM,Laxmi Organic Industries Limited,,
M&M,Mahindra & Mahindra Limited,Automobile and Auto Components,NIFTY50|NIFTY500
M&MFIN,Mahindra & Mahindra Financial Services Limited,Financial Services,NIFTY500
MAANALU,Maan Aluminium Limited,,
MACPOWER,Macpower CNC Machines Limited,,
MADHAV,Madhav Marbles and Granites Limited,,
MADHAVIPL,Madhav Infra Projects Limited,,
MADRASFERT,Madras Fertilizers Limited,,
MAFATIND,Mafatlal Industries Limited,,
MAGADSUGAR,Magadh Sugar & Energy Limited,,
MAGNUM,Magnum Ventures Limited,,
MAHABANK,Bank of Maharashtra,Financial Services,NIFTY500
MAHAPEXLTD,Maha Rashtra Apex Corporation Limited,,
MAHEPC,Mahindra EPC Irrigation Limited,,
MAHLIFE,Mahindra Lifespace Developers Limited,,
MAHLOG,Mahindra Logistics Limited,,
MAHSCOOTER,Maharashtra Scooters Limited,,
MAHSEAMLES,Maharashtra Seamless Limited,,
MAITHANALL,Maithan Alloys Limited,,
MALLCOM,Mallcom (India) Limited,,
MALUPAPER,Malu Paper Mills Limited,,
MAMATA,Mamata Machinery Limited,,
MANAKALUCO,Manaksia Aluminium Company Limited,,
MANAKCOAT,Manaksia Coated Metals & Industries Limited,,
MANAKSIA,Manaksia Limited,,
MANAKSTEEL,Manaksia Steels Limited,,
MANALIPETC,Manali Petrochemicals Limited,,
MANAPPURAM,Manappuram Finance Limited,Financial Services,NIFTY500
MANBA,Manba Finance Limited,,
MANCREDIT,Mangal Credit and Fincorp Limited,,
MANGALAM,Mangalam Drugs And Organics Limited,,
MANGLMCEM,Mangalam Cement Limited,,
MANINDS,Man Industries (India) Limited,,
MANINFRA,Man Infraconstruction Limited,,
MANIPALHOS,Manipal Health Enterprises Limited,,
MANKIND,Mankind Pharma Limited,Healthcare,NIFTY500
MANOMAY,Manomay Tex India Limited,,
MANORAMA,Manorama Industries Limited,,
MANORG,Mangalam Organics Limited,,
MANYAVAR,Vedant Fashions Limited,,
MAPMYINDIA,C.E. Info Systems Limited,Information Technology,NIFTY500
MARATHON,Marathon Nextgen Realty Limited,,
MARICO,Marico Limited,Fast Moving Consumer Goods,NIFTY500
MARINE,Marine Electricals (India) Limited,,
MARKOLINES,Markolines Pavement Technologies Limited,,
MARKSANS,Marksans Pharma Limited,,
MARSONS,Marsons Limited,,
MARUTI,Maruti Suzuki India Limited,Automobile and Auto Components,NIFTY50|NIFTY500
MASFIN,MAS Financial Services Limited,,
MASKINVEST,Mask Investments Limited,,
MASTEK,Mastek Limited,,
MASTERTR,Master Trust Limited,,
MATRIMONY,Matrimony.Com Limited,,
MAWANASUG,Mawana Sugars Limited,,
MAXESTATES,Max Estates Limited,,
MAXHEALTH,Max Healthcare Institute Limited,Healthcare,NIFTY50|NIFTY500
MAXIND,Max India Limited,,
MAYURUNIQ,Mayur Uniquoters Ltd,,
MAZDOCK,Mazagon Dock Shipbuilders Limited,Capital Goods,NIFTY500
MBAPL,Madhya Bharat Agro Products Limited,,
MBEL,M & B Engineering Limited,,
MBLINFRA,MBL Infrastructure Limited,,
MCCHRLS-B,Mac Charles India Limited,,
MCL,M TEK COPPER LIMITED,,
MCLEODRUSS,Mcleod Russel India Limited,,
MCLOUD,Magellanic Cloud Limited,,
MCX,Multi Commodity Exchange of India Limited,Financial Services,NIFTY500
MEDANTA,Global Health Limited,Healthcare,NIFTY500
MEDIASSIST,Medi Assist Healthcare Services Limited,,
MEDICAMEQ,Medicamen Biotech Limited,,
MEDICO,Medico Remedies Limited,,
MEDPLUS,Medplus Health Services Limited,,
MEESHO,Meesho Limited,Consumer Services,NIFTY500
MEGASTAR,Megastar Foods Limited,,
MEIL,Mangal Electrical Industries Limited,,
MENNPIS,Menon Pistons Limited,,
MERCANTILE,Mercantile Ventures Limited,,
MERCURYEV,Mercury Ev-Tech Limited,,
METROBRAND,Metro Brands Limited,,
METROGLOBL,Metroglobal Limited,,
METROPOLIS,Metropolis Healthcare Limited,,
MFML,Mahalaxmi Fabric Mills Limited,,
MFSL,Max Financial Services Limited,Financial Services,NIFTY500
MGL,Mahanagar Gas Limited,Oil Gas & Consumable Fuels,NIFTY500
MHLXMIRU,Mahalaxmi Rubtech Limited,,
MHRIL,Mahindra Holidays & Resorts India Limited,,
MIDHANI,Mishra Dhatu Nigam Limited,,
MIDWESTLTD,Midwest Limited,,
MINDACORP,Minda Corporation Limited,Automobile and Auto Components,NIFTY500
MINDTECK,Mindteck (India) Limited,,
MIRZAINT,Mirza International Limited,,
MITTAL,Mittal Life Style Limited,,
MKPL,M K Proteins Limited,,
MMFL,MM Forgings Limited,,
MMP,MMP Industries Limited,,
MMTC,MMTC Limited,Services,NIFTY500
MMWL,Media Matrix Worldwide Limited,,
MOBIKWIK,One Mobikwik Systems Limited,,
MODIRUBBER,Modi Rubber Limited,,
MODIS,Modis Navnirman Limited,,
MODTHREAD,Modern Threads (India) Limited,,
MOHITIND,Mohit Industries Limited,,
MOIL,MOIL Limited,,
MOKSH,Moksh Ornaments Limited,,
MOL,Meghmani Organics Limited,,
MOLDTKPAC,Mold-Tek Packaging Limited,,
MONARCH,Monarch Networth Capital Limited,,
MONEYBOXX,Moneyboxx Finance Limited,,
MONTECARLO,Monte Carlo Fashions Limited,,
MOREPENLAB,Morepen Laboratories Limited,,
MOSCHIP,Moschip Technologies Limited,,
MOTHERSON,Samvardhana Motherson International Limited,Automobile and Auto Components,NIFTY500
MOTILALOFS,Motilal Oswal Financial Services Limited,Financial Services,NIFTY500
MOTISONS,Motisons Jewellers Limited,,
MPHASIS,MphasiS Limited,Information Technology,NIFTY500
MPSLTD,MPS Limited,,
MRF,MRF Limited,Automobile and Auto Components,NIFTY500
MRPL,Mangalore Refinery and Petrochemicals Limited,Oil Gas & Consumable Fuels,NIFTY500
MSPL,MSP Steel & Power Limited,,
MSTCLTD,Mstc Limited,,
MSUMI,Motherson Sumi Wiring India Limited,Automobile and Auto Components,NIFTY500
MTNL,Mahanagar Telephone Nigam Limited,,
MUFIN,Mufin Green Finance Limited,,
MUFTI,Credo Brands Marketing Limited,,
MUKANDLTD,Mukand Limited,,
MUKKA,Mukka Proteins Limited,,
MUNJALAU,Munjal Auto Industries Limited,,
MUNJALSHOW,Munjal Showa Limited,,
MURUDCERA,Murudeshwar Ceramics Limited,,
MUTHOOTCAP,Muthoot Capital Services Limited,,
MUTHOOTFIN,Muthoot Finance Limited,Financial Services,NIFTY500
MUTHOOTMF,Muthoot Microfin Limited,,
MVELECTRO,MV Electrosystems Limited,,
MVGJL,Manoj Vaibhav Gems N Jewellers Limited,,
MWL,Mangalam Worldwide Limited,,
NACLIND,NACL Industries Limited,,
NAGREEKCAP,Nagreeka Capital & Infrastructure Limited,,
NAGREEKEXP,Nagreeka Exports Limited,,
NAHARCAP,Nahar Capital and Financial Services Limited,,
NAHARINDUS,Nahar Industrial Enterprises Limited,,
NAHARPOLY,Nahar Poly Films Limited,,
NAHARSPING,Nahar Spinning Mills Limited,,
NAM-INDIA,Nippon Life India Asset Management Limited,Financial Services,NIFTY500
NARMADA,Narmada Agrobase Limited,,
NATCAPSUQ,Natural Capsules Limited,,
NATCOPHARM,Natco Pharma Limited,Healthcare,NIFTY500
NATHBIOGEN,Nath Bio-Genes (India) Limited,,
NATIONALUM,National Aluminium Company Limited,Metals & Mining,NIFTY500
NATIONSTD,National Standard (India) Limited,,
NAUKRI,Info Edge (India) Limited,Consumer Services,NIFTY500
NAVA,NAVA LIMITED,Power,NIFTY500
NAVINFLUOR,Navin Fluorine International Limited,Chemicals,NIFTY500
NAVKARCORP,Navkar Corporation Limited,,
NAVNETEDUL,Navneet Education Limited,,
NAZARA,Nazara Technologies Limited,,
NBCC,NBCC (India) Limited,Construction,NIFTY500
NBIFIN,N. B. I. Industrial Finance Company Limited,,
NCC,NCC Limited,Construction,NIFTY500
NCLIND,NCL Industries Limited,,
NDGL,Naga Dhunseri Group Limited,,
NDL,Nandan Denim Limited,,
NDLVENTURE,NDL Ventures Limited,,
NDRAUTO,Ndr Auto Components Limited,,
NDTV,New Delhi Television Limited,,
NEAGI,Neelamalai Agro Industries Limited,,
NELCAST,Nelcast Limited,,
NELCO,NELCO Limited,,
NEOGEN,Neogen Chemicals Limited,,
NEPHROPLUS,Nephrocare Health Services Limited,,
NESCO,Nesco Limited,,
NESTLEIND,Nestle India Limited,Fast Moving Consumer Goods,NIFTY50|NIFTY500
NETWEB,Netweb Technologies India Limited,Information Technology,NIFTY500
NETWORK18,Network18 Media & Investments Limited,,
NEULANDLAB,Neuland Laboratories Limited,Healthcare,NIFTY500
NEWGEN,Newgen Software Technologies Limited,Information Technology,NIFTY500
NEXTMEDIA,Next Mediaworks Limited,,
NFL,National Fertilizers Limited,,
NGLFINE,NGL Fine-Chem Limited,,
NH,Narayana Hrudayalaya Ltd.,Healthcare,NIFTY500
NHPC,NHPC Limited,Power,NIFTY500
NIACL,The New India Assurance Company Limited,Financial Services,NIFTY500
NIBE,NIBE Limited,,
NIBL,NRB Industrial Bearings Limited,,
NIITLTD,NIIT Limited,,
NIITMTS,NIIT Learning Systems Limited,,
NILAINFRA,Nila Infrastructures Limited,,
NILASPACES,Nila Spaces Limited,,
NILE,Nile Limited,,
NILKAMAL,Nilkamal Limited,,
NIMBSPROJ,Nimbus Projects Limited,,
NINSYS,NINtec Systems Limited,,
NIPPOBATRY,Indo-National Limited,,
NIRAJISPAT,Niraj Ispat Industries Limited,,
NIRLON,Nirlon Limited,,
NITCO,Nitco Limited,,
NITINSPIN,Nitin Spinners Limited,,
NITIRAJ,Nitiraj Engineers Limited,,
NITTAGELA,Nitta Gelatin India Limited,,
NIVABUPA,Niva Bupa Health Insurance Company Limited,Financial Services,NIFTY500
NKIND,NK Industries Limited,,
NLCINDIA,NLC India Limited,Power,NIFTY500
NMDC,NMDC Limited,Metals & Mining,NIFTY500
NOCIL,NOCIL Limited,,
NORBTEAEXP,Norben Tea & Exports Limited,,
NORTHARC,Northern Arc Capital Limited,,
NOVARTIND,Novartis India Limited,,
NPST,Network People Services Technologies Limited,,
NRAIL,N R Agarwal Industries Limited,,
NRBBEARING,NRB Bearing Limited,,
NSIL,Nalwa Sons Investments Limited,,
NSLNISP,NMDC Steel Limited,Metals & Mining,NIFTY500
NTPC,NTPC Limited,Power,NIFTY50|NIFTY500
NTPCGREEN,NTPC Green Energy Limited,Power,NIFTY500
NUCLEUS,Nucleus Software Exports Limited,,
NUVAMA,Nuvama Wealth Management Limited,Financial Services,NIFTY500
NUVOCO,Nuvoco Vistas Corporation Limited,Construction Materials,NIFTY500
NYKAA,FSN E-Commerce Ventures Limited,Consumer Services,NIFTY500
OAL,Oriental Aromatics Limited,,
OBCL,OBCL Limited,,
OBEROIRLTY,Oberoi Realty Limited,Realty,NIFTY500
ODIGMA,Odigma Consultancy Solutions Limited,,
OFSS,Oracle Financial Services Software Limited,Information Technology,NIFTY500
OIL,Oil India Limited,Oil Gas & Consumable Fuels,NIFTY500
OLAELEC,Ola Electric Mobility Limited,Automobile and Auto Components,NIFTY500
OLECTRA,Olectra Greentech Limited,Automobile and Auto Components,NIFTY500
OMAXAUTO,Omax Autos Limited,,
OMAXE,Omaxe Limited,,
OMINFRAL,OM INFRA LIMITED,,
OMNI,Omnitech Engineering Limited,,
OMPOWER,Om Power Transmission Limited,,
ONEPOINT,One Point One Solutions Limited,,
ONESOURCE,Onesource Specialty Pharma Limited,Healthcare,NIFTY500
ONGC,Oil & Natural Gas Corporation Limited,Oil Gas & Consumable Fuels,NIFTY50|NIFTY500
ONIDA,Onida Electronics Limited,,
ONWARDTEC,Onward Technologies Limited,,
OPTIEMUS,Optiemus Infracom Limited,,
ORCHASP,Orchasp Limited,,
ORCHPHARMA,Orchid Pharma Limited,,
ORICONENT,Oricon Enterprises Limited,,
ORIENTALTL,Oriental Trimex Limited,,
ORIENTBELL,Orient Bell Limited,,
ORIENTCEM,Orient Cement Limited,,
ORIENTCER,ORIENT CERATECH LIMITED,,
ORIENTELEC,Orient Electric Limited,,
ORIENTHOT,Oriental Hotels Limited,,
ORIENTPPR,Orient Paper & Industries Limited,,
ORIENTTECH,Orient Technologies Limited,,
ORISSAMINE,The Orissa Minerals Development Company Limited,,
ORKLAINDIA,Orkla India Limited,,
ORTINGLOBE,ORTIN GLOBAL LIMITED,,
OSWALAGRO,Oswal Agro Mills Limited,,
OSWALGREEN,Oswal Greentech Limited,,
OSWALPUMPS,Oswal Pumps Limited,,
OSWALSEEDS,ShreeOswal Seeds And Chemicals Limited,,
PACEDIGITK,Pace Digitek Limited,,
PAGEIND,Page Industries Limited,Textiles,NIFTY500
PAISALO,Paisalo Digital Limited,,
PAKKA,PAKKA LIMITED,,
PALASHSECU,Palash Securities Limited,,
PANACEABIO,Panacea Biotec Limited,,
PANAMAPET,Panama Petrochem Limited,,
PANSARI,Pansari Developers Limited,,
PAR,Par Drugs And Chemicals Limited,,
PARACABLES,Paramount Communications Limited,,
PARADEEP,Paradeep Phosphates Limited,Chemicals,NIFTY500
PARAGMILK,Parag Milk Foods Limited,,
PARAS,Paras Defence and Space Technologies Limited,,
PARASPETRO,Paras Petrofils Limited,,
PARKHOSPS,Park Medi World Limited,,
PARKHOTELS,Apeejay Surrendra Park Hotels Limited,,
PASHUPATI,Pashupati Cotspin Limited,,
PATANJALI,Patanjali Foods Limited,Fast Moving Consumer Goods,NIFTY500
PATELENG,Patel Engineering Limited,,
PATELRMART,Patel Retail Limited,,
PAUSHAKLTD,Paushak Limited,,
PAVNAIND,Pavna Industries Limited,,
PAYTM,One 97 Communications Limited,Financial Services,NIFTY500
PCBL,PCBL Chemical Limited,Chemicals,NIFTY500
PCJEWELLER,PC Jeweller Limited,,
PDMJEPAPER,Pudumjee Paper Products Limited,,
PDSL,PDS Limited,,
PEARLPOLY,Pearl Polymers Limited,,
PENIND,Pennar Industries Limited,,
PERSISTENT,Persistent Systems Limited,Information Technology,NIFTY500
PETRONET,Petronet LNG Limited,Oil Gas & Consumable Fuels,NIFTY500
PFC,Power Finance Corporation Limited,Financial Services,NIFTY500
PFIZER,Pfizer Limited,Healthcare,NIFTY500
PFOCUS,Prime Focus Limited,Media Entertainment & Publication,NIFTY500
PFS,PTC India Financial Services Limited,,
PGEL,PG Electroplast Limited,Consumer Durables,NIFTY500
PGHH,Procter & Gamble Hygiene and Health Care Limited,,
PGHL,Procter & Gamble Health Limited,,
PGIL,Pearl Global Industries Limited,,
PHOENIXLTD,The Phoenix Mills Limited,Realty,NIFTY500
PICCADIL,Piccadily Agro Industries Limited,,
PIDILITIND,Pidilite Industries Limited,Chemicals,NIFTY500
PIGL,Power & Instrumentation (Gujarat) Limited,,
PIIND,PI Industries Limited,Chemicals,NIFTY500
PILANIINVS,Pilani Investment and Industries Corporation Limited,,
PILITA,PIL ITALICA LIFESTYLE LIMITED,,
PINELABS,Pine Labs Limited,Financial Services,NIFTY500
PIONEEREMB,Pioneer Embroideries Limited,,
PIRAMALFIN,Piramal Finance Limited,Financial Services,NIFTY500
PITTIENG,Pitti Engineering Limited,,
PIXTRANS,Pix Transmissions Limited,,
PKTEA,The Peria Karamalai Tea & Produce Company Limited,,
PLASTIBLEN,Plastiblends India Limited,,
PLATIND,Platinum Industries Limited,,
PLAZACABLE,Plaza Wires Limited,,
PML,Paul Merchants Limited,,
PNB,Punjab National Bank,Financial Services,NIFTY500
PNBGILTS,PNB Gilts Limited,,
PNBHOUSING,PNB Housing Finance Limited,Financial Services,NIFTY500
PNC,Pritish Nandy Communications Limited,,
PNCINFRA,PNC Infratech Limited,,
PNGJL,P N Gadgil Jewellers Limited,,
PNGSREVA,PNGS Reva Diamond Jewellery Limited,,
POCL,Pondy Oxides & Chemicals Limited,,
PODDARMENT,Poddar Pigments Limited,,
POKARNA,Pokarna Limited,,
POLICYBZR,PB Fintech Limited,Financial Services,NIFTY500
POLYCAB,Polycab India Limited,Capital Goods,NIFTY500
POLYMED,Poly Medicure Limited,Healthcare,NIFTY500
POLYPLEX,Polyplex Corporation Limited,,
PONNIERODE,Ponni Sugars (Erode) Limited,,
POONAWALLA,Poonawalla Fincorp Limited,Financial Services,NIFTY500
POWERGRID,Power Grid Corporation of India Limited,Power,NIFTY50|NIFTY500
POWERICA,Powerica Limited,,
POWERINDIA,Hitachi Energy India Limited,Capital Goods,NIFTY500
POWERMECH,Power Mech Projects Limited,,
PPLPHARMA,Piramal Pharma Limited,Healthcare,NIFTY500
PRABHA,Prabha Energy Limited,,
PRAENG,Prajay Engineers Syndicate Limited,,
PRAJIND,Praj Industries Limited,,
PRAKASH,Prakash Industries Limited,,
PRAKASHSTL,Prakash Steelage Limited,,
PRAVEG,Praveg Limited,,
PRAXIS,Praxis Home Retail Limited,,
PRECAM,Precision Camshafts Limited,,
PRECOT,Precot Limited,,
PRECWIRE,Precision Wires India Limited,,
PREMCO,Premco Global Limited,,
PREMEXPLN,Premier Explosives Limited,,
PREMIERENE,Premier Energies Limited,Capital Goods,NIFTY500
PREMIERPOL,Premier Polyfilm Limited,,
PRESTIGE,Prestige Estates Projects Limited,Realty,NIFTY500
PRICOLLTD,Pricol Limited,,
PRIMESECU,Prime Securities Limited,,
PRIMO,Primo Chemicals Limited,,
PRINCEPIPE,Prince Pipes And Fittings Limited,,
PRIVISCL,Privi Speciality Chemicals Limited,,
PROSTARM,Prostarm Info Systems Limited,,
PROTEAN,Protean eGov Technologies Limited,,
PROZONER,Prozone Realty Limited,,
PRSMJOHNSN,Prism Johnson Limited,,
PRUDENT,Prudent Corporate Advisory Services Limited,,
PSB,Punjab & Sind Bank,,
PSPPROJECT,PSP Projects Limited,,
PTC,PTC India Limited,,
PTCIL,PTC Industries Limited,Capital Goods,NIFTY500
PTL,PTL Enterprises Limited,,
PUNJABCHEM,Punjab Chemicals & Crop Protection Limited,,
PURVA,Puravankara Limited,,
PVP,PVP Ventures Limited,,
PVRINOX,PVR INOX Limited,Media Entertainment & Publication,NIFTY500
PVSL,Popular Vehicles and Services Limited,,
PWL,Physicswallah Limited,Consumer Services,NIFTY500
PYRAMID,Pyramid Technoplast Limited,,
QMSMEDI,QMS Medical Allied Services Limited,,
QPOWER,Quality Power Electrical Equipments Limited,,
QUADFUTURE,Quadrant Future Tek Limited,,
QUESS,Quess Corp Limited,,
QUINT,Quint Digital Limited,,
RACE,Race Eco Chain Limited,,
RACLGEAR,RACL Geartech Limited,,
RADAAN,Radaan Mediaworks India Limited,,
RADHIKAJWE,Radhika Jeweltech Limited,,
RADIANTCMS,Radiant Cash Management Services Limited,,
RADICO,Radico Khaitan Limited,Fast Moving Consumer Goods,NIFTY500
RADIOCITY,Music Broadcast Limited,,
RAILTEL,Railtel Corporation Of India Limited,Telecommunication,NIFTY500
RAIN,Rain Industries Limited,,
RAINBOW,Rainbow Childrens Medicare Limited,Healthcare,NIFTY500
RAJMET,Rajnandini Metal Limited,,
RAJPALAYAM,Rajapalayam Mills Limited,,
RAJRATAN,Rajratan Global Wire Limited,,
RAJSREESUG,Rajshree Sugars & Chemicals Limited,,
RAJTV,Raj Television Network Limited,,
RALLIS,Rallis India Limited,,
RAMANEWS,Shree Rama Newsprint Limited,,
RAMAPHO,Rama Phosphates Limited,,
RAMBHAJO,Advit Jewels Limited,,
RAMCOCEM,The Ramco Cements Limited,Construction Materials,NIFTY500
RAMCOIND,Ramco Industries Limited,,
RAMCOSYS,Ramco Systems Limited,,
RAMKY,Ramky Infrastructure Limited,,
RAMRAT,Ram Ratna Wires Limited,,
RANASUG,Rana Sugars Limited,,
RANEHOLDIN,Rane Holdings Limited,,
RATEGAIN,Rategain Travel Technologies Limited,,
RATNAMANI,Ratnamani Metals & Tubes Limited,,
RATNAVEER,Ratnaveer Precision Engineering Limited,,
RAYMOND,Raymond Limited,,
RAYMONDLSL,Raymond Lifestyle Limited,,
RAYMONDREL,Raymond Realty Limited,,
RBA,Restaurant Brands Asia Limited,,
RBLBANK,RBL Bank Limited,Financial Services,NIFTY500
RBZJEWEL,RBZ Jewellers Limited,,
RCF,Rashtriya Chemicals and Fertilizers Limited,,
RECLTD,REC Limited,Financial Services,NIFTY500
REDINGTON,Redington Limited,Services,NIFTY500
REDTAPE,Redtape Limited,,
REFEX,Refex Industries Limited,,
REGENCERAM,Regency Ceramics Limited,,
RELAXO,Relaxo Footwears Limited,,
RELCHEMQ,Reliance Chemotex Industries Limited,,
RELIABLE,Reliable Data Services Limited,,
RELIANCE,Reliance Industries Limited,Oil Gas & Consumable Fuels,NIFTY50|NIFTY500
RELIGARE,Religare Enterprises Limited,,
RELTD,Ravindra Energy Limited,,
REMSONSIND,Remsons Industries Limited,,
RENUKA,Shree Renuka Sugars Limited,,
REPCOHOME,Repco Home Finance Limited,,
REPRO,Repro India Limited,,
RESPONIND,Responsive Industries Limited,,
RETAIL,JHS Svendgaard Retail Ventures Limited,,
RGL,Renaissance Global Limited,,
RHETAN,Rhetan TMT Limited,,
RHIM,RHI MAGNESITA INDIA LIMITED,Capital Goods,NIFTY500
RHL,Robust Hotels Limited,,
RICOAUTO,Rico Auto Industries Limited,,
RIIL,Reliance Industrial Infrastructure Limited,,
RIR,RIR Power Electronics Limited,,
RISHABH,Rishabh Instruments Limited,,
RITCO,Ritco Logistics Limited,,
RITES,RITES Limited,Construction,NIFTY500
RKDL,Ravi Kumar Distilleries Limited,,
RKEC,RKEC Projects Limited,,
RKFORGE,Ramkrishna Forgings Limited,Automobile and Auto Components,NIFTY500
RKSWAMY,R K Swamy Limited,,
RMC,RMC Switchgears Limited,,
RML,Rane (Madras) Limited,,
RNBDENIMS,R&B Denims Limited,,
ROHLTD,Royal Orchid Hotels Limited,,
ROLEXRINGS,Rolex Rings Limited,,
ROML,Raj Oil Mills Limited,,
ROSSARI,Rossari Biotech Limited,,
ROSSELLIND,Rossell India Limited,,
ROSSTECH,Rossell Techsys Limited,,
ROTO,Roto Pumps Limited,,
ROUTE,ROUTE MOBILE LIMITED,,
RPEL,Raghav Productivity Enhancers Limited,,
RPGLIFE,RPG Life Sciences Limited,,
RPOWER,Reliance Power Limited,Power,NIFTY500
RPPINFRA,R.P.P. Infra Projects Limited,,
RPSGVENT,RPSG VENTURES LIMITED,,
RPTECH,Rashi Peripherals Limited,,
RRIL,RRIL Limited,,
RRKABEL,R R Kabel Limited,Capital Goods,NIFTY500
RSL,Rajputana Stainless Limited,,
RSSOFTWARE,R. S. Software (India) Limited,,
RSYSTEMS,R Systems International Limited,,
RTNINDIA,RattanIndia Enterprises Limited,,
RTNPOWER,RattanIndia Power Limited,,
RUBFILA,Rubfila International Limited,,
RUBICON,Rubicon Research Limited,,
RUCHINFRA,Ruchi Infrastructure Limited,,
RUCHIRA,Ruchira Papers Limited,,
RUDRA,Rudra Global Infra Products Limited,,
RUPA,Rupa & Company Limited,,
RUSHIL,Rushil Decor Limited,,
RUSTOMJEE,Keystone Realtors Limited,,
RVHL,Ravinder Heights Limited,,
RVNL,Rail Vikas Nigam Limited,Construction,NIFTY500
RVTH,Revathi Equipment India Limited,,
S&SPOWER,S&S Power Switchgears Limited,,
SAATVIKGL,Saatvik Green Energy Limited,,
SADBHAV,Sadbhav Engineering Limited,,
SAFARI,Safari Industries (India) Limited,,
SAGARDEEP,Sagardeep Alloys Limited,,
SAGCEM,Sagar Cements Limited,,
SAGILITY,SAGILITY LIMITED,Information Technology,NIFTY500
SAHLIBHFI,Shalibhadra Finance Limited,,
SAHYADRI,Sahyadri Industries Limited,,
SAIL,Steel Authority of India Limited,Metals & Mining,NIFTY500
SAILIFE,Sai Life Sciences Limited,Healthcare,NIFTY500
SAIPARENT,Sai Parenterals Limited,,
SAKAR,Sakar Healthcare Limited,,
SAKHTISUG,Sakthi Sugars Limited,,
SAKSOFT,Saksoft Limited,,
SAKUMA,Sakuma Exports Limited,,
SALASAR,Salasar Techno Engineering Limited,,
SALONA,Salona Cotspin Limited,,
SALSTEEL,S.A.L. Steel Limited,,
SALZERELEC,Salzer Electronics Limited,,
SAMBHAAV,Sambhaav Media Limited,,
SAMBHV,Sambhv Steel Tubes Limited,,
SAMHI,Samhi Hotels Limited,,
SAMMAANCAP,Sammaan Capital Limited,Financial Services,NIFTY500
SAMPANN,Sampann Utpadan India Limited,,
SANATHAN,Sanathan Textiles Limited,,
SANDESH,The Sandesh Limited,,
SANDHAR,Sandhar Technologies Limited,,
SANDUMA,Sandur Manganese & Iron Ores Limited,,
SANGAMIND,Sangam (India) Limited,,
SANGHVIMOV,Sanghvi Movers Limited,,
SANOFI,Sanofi India Limited,,
SANOFICONR,Sanofi Consumer Healthcare India Limited,,
SANSERA,Sansera Engineering Limited,,
SANSTAR,Sanstar Limited,,
SAPPHIRE,Sapphire Foods India Limited,Consumer Services,NIFTY500
SAPPL,Shree Ajit Pulp & Paper Limited,,
SARDAEN,Sarda Energy & Minerals Limited,Metals & Mining,NIFTY500
SAREGAMA,Saregama India Limited,Media Entertainment & Publication,NIFTY500
SARLAPOLY,Sarla Performance Fibers Limited,,
SARVESHWAR,Sarveshwar Foods Limited,,
SASKEN,Sasken Technologies Limited,,
SATIA,Satia Industries Limited,,
SATIN,Satin Creditcare Network Limited,,
SAURASHCEM,Saurashtra Cement Limited,,
SAYAJIHOTL,Sayaji Hotels Limited,,
SBC,SBC Exports Limited,,
SBCL,Shivalik Bimetal Controls Limited,,
SBFC,SBFC Finance Limited,Financial Services,NIFTY500
SBGLP,Suratwwala Business Group Limited,,
